Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
[NFR-USE-011] Lighthouse Accessibility ≥ 90 on all primary pages,ECOM-132,10177,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,a11y,ci,must,mvp,nfr-use,wiki-linked,"*NFR-USE-011:* Lighthouse Accessibility score ≥ 90 on all primary pages.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

CI fails if any primary page drops below 90.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000vr:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-010] Per-route page titles,ECOM-131,10176,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,frontend,mvp,nfr-use,should,wiki-linked,,"*NFR-USE-010:* Page titles change per route to support screen-reader announcement and browser tab orientation.

*Priority:* Should | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

E.g. ""SauceDemo — Cart (3 items)"" / ""SauceDemo — Login"".",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000vj:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-009] Loading indicators and retry paths on async actions,ECOM-130,10175,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,frontend,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-009:* Long-running actions (> 500ms) show loading indicator; failed actions show clear error and retry path.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* Spinner on >500ms requests
* Error toast includes ""Retry"" button where appropriate
* Optimistic UI where safe (cart add) with rollback on failure",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000vb:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-008] Browser support: last 2 versions of Chrome / Firefox / Safari / Edge,ECOM-129,10174,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,frontend,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-008:* Application functions on latest 2 major versions of Chrome, Firefox, Safari, Edge.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* Browserslist config matches
* Playwright tests run cross-browser in CI",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000v3:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-007] Responsive across mobile / tablet / desktop,ECOM-128,10173,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,frontend,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-007:* UI responsive across breakpoints: mobile (< 768px), tablet (768-1199px), desktop (≥ 1200px).

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* Catalog grid: 1 col / 2-3 col / 4 col by breakpoint
* No horizontal scrollbar at any standard width
* Visual regression test at all 3 breakpoints",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000uv:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-006] Color contrast meets WCAG AA ratios,ECOM-127,10172,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,a11y,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-006:* Color contrast: ≥ 4.5:1 normal text, ≥ 3:1 large text and UI components.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

Verified by axe-core in CI.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000un:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-005] Visible form labels + descriptive errors,ECOM-126,10171,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,a11y,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-005:* Form fields have visible labels and descriptive error messages.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* {{<label for>}} linked to each input
* Errors describe how to fix (not just ""invalid"")
* aria-describedby connects input ↔ error message",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000uf:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
[NFR-USE-004] Meaningful alt text on all images,ECOM-125,10170,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,a11y,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-004:* All images have meaningful alt text; decorative images marked as such.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* Product images: alt = product name
* Decorative: alt="""" or role=""presentation""
* ESLint rule enforces alt attribute on {{<img>}}",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000u7:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:02
[NFR-USE-003] Visible focus indicators on all interactive elements,ECOM-124,10169,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,a11y,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-003:* Visible focus indicators on all interactive elements.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* No {{outline: none}} without replacement
* Focus ring meets contrast requirements
* Verified during keyboard-only walkthrough",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000tz:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:02
[NFR-USE-002] Keyboard-only operation on primary flows,ECOM-123,10168,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,a11y,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-002:* Application fully operable with keyboard only on primary flows.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* Tab order is logical
* All interactive elements reachable
* Enter / Space activate buttons
* Esc closes modals",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000tr:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:02
[NFR-USE-001] WCAG 2.1 Level AA on primary flows,ECOM-122,10167,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,a11y,must,mvp,nfr-use,wiki-linked,,"*NFR-USE-001:* Application meets WCAG 2.1 Level AA on all primary user flows.

*Priority:* Must | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

Verified via axe-core in CI + manual screen-reader pass per release.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000tj:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:02
[NFR-REL-010] Rollback within 5 minutes,ECOM-121,10166,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-010:* Deployment pipeline supports rollback to previous version within 5 minutes.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

h3. AC

* Previous image tag retained on registry
* {{make rollback}} script flips the deployment
* DB migrations are backward-compatible (no destructive in MVP releases)",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000tb:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-009] Stateless API for horizontal scaling + zero-downtime deploy,ECOM-120,10165,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-009:* API instances stateless to allow horizontal scaling and zero-downtime rolling deploy.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

h3. AC

* No in-memory state across requests (sessions, caches)
* DB is the only shared state
* Rolling deploy validated in staging without dropped requests",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000t3:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-008] Idempotency on safe methods + POST orders,ECOM-119,10164,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,nfr-rel,should,v1.1,wiki-linked,,,"*NFR-REL-008:* Safe HTTP methods (GET) idempotent; POST /api/orders idempotent under Idempotency-Key.

*Priority:* Should | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

Pair with FR-ORD-014.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000sv:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-007] Structured error response (no 500 leaks),ECOM-118,10163,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-007:* Background / one-off failures SHALL NOT leak as 500s; return structured error envelope.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

Pair with NFR-SEC-007. All endpoints return {{{detail, code, context}}} envelope.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000sn:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-006] Read-only DB graceful degradation,ECOM-117,10162,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,mvp,nfr-rel,should,wiki-linked,,,"*NFR-REL-006:* When DB is read-only, reads keep working; writes return 503 with Retry-After.

*Priority:* Should | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000sf:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-005] MTTR ≤ 30 minutes from complete outage,ECOM-116,10161,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-005:* Mean Time To Recover from complete outage ≤ 30 minutes.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

Tracked through incident retrospectives. Runbook documents standard playbook (rebuild from image, restore last backup, switch traffic).",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000s7:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-004] Daily DB backups + quarterly restore drill,ECOM-115,10160,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:02,16-06-2026 20:02,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-004:* DB backed up at least daily with PITR; restore drill quarterly.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

h3. AC

* Postgres PITR enabled (RPO ≤ 24h)
* Quarterly drill documented: take backup → restore in staging → assert data integrity
* Backup encryption + retention 30d",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000rz:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:02
[NFR-REL-003] Transactional order creation,ECOM-114,10159,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-003:* Order creation is transactional: stock decrement, order insert, cart clear MUST all commit or all roll back.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

Pair with FR-ORD-004. Verified by chaos test that kills DB mid-tx.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000rr:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:01
[NFR-REL-002] Liveness + readiness probes,ECOM-113,10158,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-002:* API exposes /health/live and /health/ready for LB / orchestrator integration.

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

h3. AC

* /health/live returns 200 if process up
* /health/ready returns 200 only if DB reachable
* Neither requires auth
* LB / k8s probes wired to these",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000rj:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:01
[NFR-REL-001] ≥ 99.5% monthly uptime SLO,ECOM-112,10157,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,must,mvp,nfr-rel,wiki-linked,,,"*NFR-REL-001:* ≥ 99.5% monthly uptime in production (max ~3.6h downtime/month).

*Priority:* Must | *Epic:* ECOM-13
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638422

Tracked via synthetic monitor on /health/ready + journey check from 2 regions.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000rb:,,,,,10058,ECOM-13,[NFR-REL] Reliability & Availability,To Do,16-06-2026 20:01
"[NFR-SEC-015] SAST in CI (Bandit, ESLint security)",ECOM-111,10156,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,ci,must,mvp,nfr-sec,wiki-linked,,"*NFR-SEC-015:* Static analysis (Bandit, ESLint security plugin) runs in CI.

*Priority:* Must | *Epic:* ECOM-12
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638401

h3. AC

* Bandit on backend per PR
* eslint-plugin-security on frontend per PR
* Critical findings block merge",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000r3:,,,,,10057,ECOM-12,[NFR-SEC] Security & Privacy,To Do,16-06-2026 20:01
[NFR-SEC-014] CVE scanning in CI; critical blocks merge,ECOM-110,10155,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,ci,must,mvp,nfr-sec,wiki-linked,,"*NFR-SEC-014:* Dependencies scanned for CVEs in CI (pip-audit / npm audit). Critical findings block merge.

*Priority:* Must | *Epic:* ECOM-12
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638401

h3. AC

* CI step runs pip-audit + npm audit on every PR
* Critical CVE in any dependency → CI fails
* Dependabot/Renovate enabled for auto-PRs",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000qv:,,,,,10057,ECOM-12,[NFR-SEC] Security & Privacy,To Do,16-06-2026 20:01
[NFR-SEC-013] No PII / secrets in logs,ECOM-109,10154,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,must,mvp,nfr-sec,wiki-linked,,,"*NFR-SEC-013:* Logs MUST NOT contain passwords, JWTs, payment data, or full email addresses (mask before log).

*Priority:* Must | *Epic:* ECOM-12
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638401

h3. AC

* Log filter masks sensitive fields by name
* Email logged as {{j***@example.com}}
* JWT shown only as first 8 chars + {{...}}
* Periodic log audit confirms compliance",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000qn:,,,,,10057,ECOM-12,[NFR-SEC] Security & Privacy,To Do,16-06-2026 20:01
[NFR-SEC-012] GDPR data-deletion runbook (Article 17),ECOM-108,10153,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,mvp,nfr-sec,privacy,should,wiki-linked,,"*NFR-SEC-012:* Documented data-deletion procedure on user request (GDPR Article 17).

*Priority:* Should | *Epic:* ECOM-12
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638401

h3. Deliverable

* runbooks/gdpr-erasure.md
* SQL script template (anonymise user, keep order rows for accounting)
* Annual walkthrough exercise",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000qf:,,,,,10057,ECOM-12,[NFR-SEC] Security & Privacy,To Do,16-06-2026 20:01
[NFR-SEC-011] PII exposed only via owner-scoped endpoints,ECOM-107,10152,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,must,mvp,nfr-sec,privacy,wiki-linked,,"*NFR-SEC-011:* User PII (email, name, address) exposed only via authenticated endpoints scoped to the owning user.

*Priority:* Must | *Epic:* ECOM-12
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638401

h3. AC

* /api/auth/me returns only caller's PII
* /api/orders/{id} returns 404 for foreign orders (FR-ORD-010)
* No public endpoint enumerates users",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000q7:,,,,,10057,ECOM-12,[NFR-SEC] Security & Privacy,To Do,16-06-2026 20:01
[NFR-SEC-010] Set security headers on API + frontend,ECOM-106,10151,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:01,16-06-2026 20:01,,,,0,must,mvp,nfr-sec,wiki-linked,,,"*NFR-SEC-010:* Set security headers: X-Content-Type-Options, Strict-Transport-Security, Referrer-Policy, frame-deny.

*Priority:* Must | *Epic:* ECOM-12
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638401

h3. AC

* All API responses include the 4 headers
* Frontend uses helmet-like middleware
* securityheaders.com scan ≥ A",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000pz:,,,,,10057,ECOM-12,[NFR-SEC] Security & Privacy,To Do,16-06-2026 20:01
